model,slice,n,R2,MAPE
LGBM,ALL,16583,0.7761057184632048,0.15230938295776963
LGBM,County::Los Angeles,4549,0.7406666630043351,0.1534612493587842
LGBM,County::Orange,1883,0.7734809185487592,0.139944108716049
LGBM,County::Other,4443,0.7997576355109,0.1695935366416776
LGBM,County::Riverside,2127,0.6600978706550251,0.13349778616832553
LGBM,County::San Bernardino,1558,0.6768921590402394,0.1292197414036605
LGBM,County::San Diego,2023,0.7011261052723217,0.16082960254936177
LGBM,Price_Q1,4191,-0.45948063460701816,0.17436139350337512
LGBM,Price_Q2,4102,-2.302966942728017,0.11979538607601971
LGBM,Price_Q3,4174,-1.039184535683547,0.135109171810837
LGBM,Price_Q4,4116,0.37589435596089604,0.17970154047467976
LGBM,YearBuilt_1980_2009,5734,0.8161640615866048,0.1357642557491666
LGBM,YearBuilt_2010plus,1883,0.8172124398010032,0.12231601676844493
LGBM,YearBuilt_<1980,8755,0.7637374957715163,0.1622270867804357
RF,ALL,13211,0.8007289738193626,0.18893754374940475
RF,County::Los Angeles,3996,0.7702193496679541,0.20009675838731344
RF,County::Orange,1820,0.7849370526541763,0.24957108016977864
RF,County::Other,1934,0.7682908553446881,0.20601368805772277
RF,County::Riverside,2057,0.7933513350644577,0.12991804424692716
RF,County::San Bernardino,1497,0.8254389097884731,0.11873785799556019
RF,County::San Diego,1907,0.76588875686163,0.20927312704786494
RF,Price_Q1,3333,-3.2654622052405946,0.28364997818957954
RF,Price_Q2,3309,-5.141522675117517,0.1600069085142731
RF,Price_Q3,3268,-2.1173956798575393,0.14157724519650391
RF,Price_Q4,3301,0.5580778421201676,0.1691658622598722
RF,YearBuilt_1980_2009,4931,0.8390469201818774,0.1818872323160243
RF,YearBuilt_2010plus,1591,0.8526930428281856,0.13390561302393336
RF,YearBuilt_<1980,6689,0.7498661403243188,0.20722105713829886
